Season,Land Type,Soil Type,Water Source,Land Size,Previous Crop,Suggested Crop
Winter,Hilly,Loam,Irrigated,36.2,Rice,Wheat
Monsoon,Plain,Clay,Irrigated,46.0,Sugarcane,Paddy
Monsoon,Plain,Silt,Rainfed,40.5,Corn,Groundnut
Summer,Plain,Clay,Rainfed,7.0,Soybean,Rice
Monsoon,Plain,Silt,Rainfed,39.8,Soybean,Groundnut
Winter,Plain,Silt,Rainfed,40.1,Wheat,Pea
Summer,Coastal,Loam,Irrigated,36.0,Corn,Maize
Winter,Plain,Clay,Rainfed,25.2,Rice,Mustard
Monsoon,Plain,Loam,Irrigated,2.9,Soybean,Rice
Winter,Hilly,Sandy,Rainfed,27.3,Soybean,Barley
Winter,Plain,Sandy,Irrigated,23.0,Corn,Barley
Winter,Coastal,Loam,Irrigated,34.9,Wheat,Wheat
Winter,Hilly,Clay,Rainfed,36.3,Wheat,Mustard
Winter,Coastal,Silt,Groundwater,17.8,Sugarcane,Pea
Monsoon,Plain,Clay,Irrigated,32.7,Cotton,Paddy
Monsoon,Plain,Clay,Groundwater,10.1,Soybean,Paddy
Summer,Plain,Sandy,Irrigated,28.6,Soybean,Cotton
Summer,Coastal,Clay,Groundwater,8.5,Wheat,Rice
Monsoon,Hilly,Clay,Groundwater,20.6,Sugarcane,Paddy
Summer,Hilly,Silt,Groundwater,45.4,Sugarcane,Sugarcane
Summer,Plain,Silt,Irrigated,8.6,Corn,Sugarcane
Monsoon,Hilly,Silt,Irrigated,39.2,Soybean,Groundnut
Summer,Plain,Loam,Groundwater,10.4,Rice,Maize
Winter,Coastal,Loam,Groundwater,21.8,Corn,Wheat
Monsoon,Plain,Loam,Irrigated,16.6,Wheat,Rice
Monsoon,Hilly,Loam,Groundwater,17.6,Wheat,Rice
Winter,Coastal,Loam,Groundwater,43.6,Corn,Wheat
Summer,Coastal,Loam,Irrigated,37.3,Soybean,Maize
Winter,Hilly,Sandy,Groundwater,30.1,Soybean,Barley
Summer,Coastal,Clay,Irrigated,26.0,Rice,Rice
Winter,Coastal,Clay,Rainfed,44.5,Soybean,Mustard
Monsoon,Plain,Silt,Irrigated,39.9,Sugarcane,Groundnut
Summer,Plain,Sandy,Groundwater,21.7,Rice,Cotton
Summer,Coastal,Clay,Irrigated,46.1,Sugarcane,Rice
Summer,Coastal,Clay,Groundwater,23.6,Cotton,Rice
Summer,Hilly,Silt,Rainfed,21.0,Soybean,Sugarcane
