Crop Type,Soil Moisture Level,Growth Day,Weather Forecast,Disease Presence,Maintenance Details
Barley,High,114,Windy,None,Barley requires attention due to none disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Groundnut,High,8,Cloudy,Moderate,Groundnut requires attention due to moderate disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,High,86,Cloudy,Moderate,Sugarcane requires attention due to moderate disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,High,10,Sunny,Moderate,Barley requires attention due to moderate disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Cotton,High,86,Cloudy,Severe,Cotton requires attention due to severe disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,High,106,Rainy,None,Rice requires attention due to none disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,Low,89,Cloudy,None,Cotton requires attention due to none disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,High,60,Rainy,Mild,Wheat requires attention due to mild disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,Medium,108,Cloudy,Mild,Sugarcane requires attention due to mild disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,High,30,Rainy,Moderate,Millets requires attention due to moderate disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,Medium,87,Rainy,Severe,Groundnut requires attention due to severe disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Low,114,Windy,Severe,Wheat requires attention due to severe disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Maize,Low,59,Windy,Mild,Maize requires attention due to mild disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Barley,Medium,50,Sunny,Severe,Barley requires attention due to severe disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Rice,Low,40,Rainy,None,Rice requires attention due to none disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,Low,59,Cloudy,Mild,Millets requires attention due to mild disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,Medium,21,Cloudy,None,Cotton requires attention due to none disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,High,54,Windy,Mild,Cotton requires attention due to mild disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Rice,High,29,Sunny,Moderate,Rice requires attention due to moderate disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Millets,Medium,74,Sunny,Moderate,Millets requires attention due to moderate disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
